model,setting,roc_auc,pr_auc,brier,recall20
CatBoost,permissive,0.6753276521601639,0.4539627102369691,0.18887464062671752,0.33546284919937
CatBoost,strict,0.6739924318978492,0.45076249125814954,0.18925144821588663,0.33267592991053907
LightGBM,permissive,0.6710341479376153,0.44753141908093735,0.1895662625911781,0.3273058956336262
LightGBM,strict,0.6688119129814414,0.4430138421977416,0.19005086495164739,0.32519864740285226
LogisticRegression,permissive,0.6197966326102848,0.3879743049764887,0.19843683517760138,0.2844123319272846
LogisticRegression,strict,0.6139380702704422,0.3815612297103006,0.19917300101412874,0.278702646914997
XGBoost,permissive,0.6548968118879285,0.4266967343879477,0.19675730391692464,0.31595409078866005
XGBoost,strict,0.6560175613801305,0.4288339270980561,0.19625123919457024,0.313507053227271
